Korea;Artificial Intelligence (Ai);Business Innovation Policy Strategies;Cluster Policies;Collaborative Research And Innovation;Digital Transformation Of Firms;Ethics Of Emerging Technologies;Financial Support To Business R&D And Innovation;Horizontal Policy Coordination;Intersectoral Mobility;Multi-Stakeholder Engagement;National Sti Plan Or Strategy;Non-Financial Support To Business R&D And Innovation;Open Science And Enhanced Access To Publications And Research Data;Research And Innovation For Developing Countries;Research And Innovation For Society Strategy;Science, Technology And Innovation Culture;Stimulating Demand For Innovation And Market Creation;Strategic Policy Intelligence;Targeted Support To Smes;Transfer And Sharing Strategies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Science, Technology And Innovation Office Under The Ministry Of Science And Ict;;;;;;;;Horizontal Policy Coordination;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Xz ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;XZ
The 2nd Master Plan For National Intellectual Property;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Technopark;;;Cluster Policies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Citizens Research Program For Solving Societal Problems;;;;;;;;;;Multi-Stakeholder Engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The 5th Comprehensive Plan For Promoting Regional Science And Technology;;;Cluster Policies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Cooperative R&D Promotion Act;;;;Collaborative Research And Innovation;;;;;Intersectoral Mobility;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Appropriate Technology Supporting Centers;;;;;;;;;;;;;;Research And Innovation For Developing Countries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Science And Technology Oda Program Of The National Research Foundation Of Korea (Nrf);;;;;;;;;;;;;;Research And Innovation For Developing Countries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Presidential Committee On The 4th Industrial Revolution;;;;;;Ethics Of Emerging Technologies;;Horizontal Policy Coordination;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Comprehensive Plan For Science, Technology And Ict-Based International Cooperation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
