Chile;Artificial Intelligence (Ai);Business Innovation Policy Strategies;Cluster Policies;Collaborative Research And Innovation;Digital Transformation Of Firms;Ethics Of Emerging Technologies;Financial Support To Business R&D And Innovation;Horizontal Policy Coordination;Intersectoral Mobility;Multi-Stakeholder Engagement;National Sti Plan Or Strategy;Non-Financial Support To Business R&D And Innovation;Open Science And Enhanced Access To Publications And Research Data;Research And Innovation For Developing Countries;Research And Innovation For Society Strategy;Science, Technology And Innovation Culture;Stimulating Demand For Innovation And Market Creation;Strategic Policy Intelligence;Targeted Support To Smes;Transfer And Sharing Strategies
National Strategy For Innovation For Development;;Business Innovation Policy Strategies;;;;;;;;;;;;;Research And Innovation For Society Strategy;;;;;
National Innovation Council For Competitiveness;;;;;;;;Horizontal Policy Coordination;;;;;;;;;;;;
Conicyt National Scholarships;;;;;;;;;;;;;;;;;;;;
Postdoctorate Schoolarships;;;;;;;;;;;;;;;;;;;;
National Fund For Scientific And Tecnological Development - Regular Projects;;;;;;;;;;;;;;;;;;;;
Fund For Research Centers In Priority Areas;;;;;;;;;;;;;;;;;;;;
Program Of International Cooperation;;;;;;;;;;;;;;;;;;;;
Fund For Science And Technology Research;;;;Collaborative Research And Innovation;;;;;;;;;;;;;;;;
Adhesion To Singapore Declaration;;;;;;;;;;;;;;;;;;;;
Gender Equity Policy Guidelines In Science And Technology;;;;;;;;;;;;;;;;;;;;
Scientific And Technological Centers Of Excellence (Basal Funding);;;;Collaborative Research And Innovation;;;;;;;;;;;;;;;;
Basal Financing For The Generation Of Public Goods;;;;;;;;;;;;;;;;;;;;
Technological Centers;;;Cluster Policies;Collaborative Research And Innovation;;;;;;;;;;;;;;;;
New Engineering For 2030;;;;;;;;;;;;;;;;;;;;
Installation Of Doctors At The Academy;;;;;;;;;;;;;;;;;;;;
Postnatal Recognition In Fondecyt And Scholarships;;;;;;;;;;;;;;;;;;;;
Committee Of Ministers For Innovation;;;;;;;;Horizontal Policy Coordination;;;;;;;;;;;;
Evaluation Unit - Innovation Division;;;;;;;;;;;;;;;;;;;;
