Estados Unidos ;Artificial Intelligence (Ai);Business Innovation Policy Strategies;Cluster Policies;Collaborative Research And Innovation;Digital Transformation Of Firms;Ethics Of Emerging Technologies;Financial Support To Business R&D And Innovation;Horizontal Policy Coordination;Intersectoral Mobility;Multi-Stakeholder Engagement;National Sti Plan Or Strategy;Non-Financial Support To Business R&D And Innovation;Open Science And Enhanced Access To Publications And Research Data;Research And Innovation For Developing Countries;Research And Innovation For Society Strategy;Science, Technology And Innovation Culture;Stimulating Demand For Innovation And Market Creation;Strategic Policy Intelligence;Targeted Support To Smes;Transfer And Sharing Strategies;
Project Open Data;;;;;;;;;;;;;;;;;;;;;
Memorandum On Fy 2019 Administration Research And Development Budget Priorities;;;;;;;;;;;;;Open Science And Enhanced Access To Publications And Research Data;;;;;;;;
Federal And State Technology Partnership Program;;;;;;;;;;;;;;;;;;;;;
National Science And Technology Council;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;Targeted Support To Smes;;
National Center For Science And Engineering Statistics;;;;;;;;Horizontal Policy Coordination;;;;;;;;;;;;;
Government Accountability Office;;;;;;;;;;;;;;;;;;;;;
Science, Technology, And Innovation Partnerships;;;;;;;;;;;;;;;;;;;;;
Partnerships For International Research And Education;;;;;;;;;;;;;;;;;;;;;
White House Office Of American Innovation;;;;;;;;;;;;;;;;;;;;;
Partnerships For Enhanced Engagement In Research;;;;;;;;Horizontal Policy Coordination;;;;;;;;;;Strategic Policy Intelligence;;;
U.S. Global Development Lab;;;;;;;;;;;;;;Research And Innovation For Developing Countries;;;;;;;
Industry-University Cooperative Research Centres;;;;;;;;;;Multi-Stakeholder Engagement;;;;;;;;;;;
Manufacturing Usa;;;;;;;;;;;;;;;;;;;;;
Executive Order On Maintaining American Leadership In Artificial Intelligence;;;Cluster Policies;;;;;;;;;Non-Financial Support To Business R&D And Innovation;;;;;;;;;
White House Select Committee On Ai Under The National Science And Technology Council;;Business Innovation Policy Strategies;;;;;;;;;;;;;Research And Innovation For Society Strategy;;;;;;
National Ai R&D Strategic Plan;;;;;;;;Horizontal Policy Coordination;;;;;;;;;;;;;
Plan For Federal Engagement In Developing Technical Standards And Related Tools;;Business Innovation Policy Strategies;;;;;;;;;;;;;Research And Innovation For Society Strategy;;;;;;
Unmanned Aircraft Systems;;;;;;Ethics Of Emerging Technologies;;;;;;;;;;;;;;;
American Workforce Policy Advisory Board;;;;;;Ethics Of Emerging Technologies;;;;;;;;;;;;;;;
R&D Workforce Training;;;;;;;;;;;;;;;;;;;;;
Defense Innovation Board;;;;;;;;;;;;;;;;;;;;;
National Strategic Overview For Quantum Information Science;;;;;;Ethics Of Emerging Technologies;;;;;;;;;;;;Strategic Policy Intelligence;;;
Nsf Support To Ai R&D;;Business Innovation Policy Strategies;;;;;;;;;;;;;;;;;;;
Federal 5-Year Stem Education Strategic Plan;;;;;;;;;;;;;;;;;;;;;
Identifying Priority Access Or Quality Improvements For Federal Data And Models For Ai R&D, Request For Information;;;;;;;;;;;;;;;;;;;;;
Dod Artificial Intelligence Strategy;;;;;;;;;;Multi-Stakeholder Engagement;;;;;;;;;;;
The Aim Initiative: A Strategy For Augmenting Intelligence Using Machines;;;;;;;;;;;;;;;;;;;;;
Automated Vehicles 3.0: Preparing For The Future Of Transportation;;;;;;;;;;;;;;;;;;;;;
Fda Proposed Regulatory Framework For Modifications To Ai/Ml Based Software As A Medical Device;;;;;;Ethics Of Emerging Technologies;;;;;;;;;;;;;;;
Joint Artificial Intelligence Center;;;;;;Ethics Of Emerging Technologies;;;;;;;;;;;;;;;
National Security Commission On Ai;;;;;;Ethics Of Emerging Technologies;;;;;;;;;;;;;;;
Artificial Intelligence And Technology Office;;;;;;;;;;;;;;;;;;;;;
Policies That Regulate Fintech Innovation;;;;;;;;Horizontal Policy Coordination;;;;;;;;;;;;;
Memorandum To Heads Of Agencies On Regulatory And Non-Regulatory Approaches To Ai;;;;;;Ethics Of Emerging Technologies;;;;;;;;;;;;;;;
Nasa Stem Engagement;;;;;;Ethics Of Emerging Technologies;;;;;;;;;;;;;;;
Nasa Strategic Technology Investment Plan;;;;;;;;;;;;;;;;;;;;;
Nasa Techport;;;;;;;;;;;;;;;;;;;;;
Arpa-E Funding;;;;;;;;;;;;;;;;;;;;;
Social Innovation Fund;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;;
Darpa Funding Announcements;;;;;;;;;;;;;;;Research And Innovation For Society Strategy;;;;;;
Aafc-Usda Genotyping And Monitoring Of High Risk Plant Pathogens Collaboration;;;;;;;;;;;;;;;;;;;;;
Global Foot And Mouth Disease Research Alliance;;;;;;;;;;;;;;;;;;;;;
Americas Competitiveness Exchange;;;;;;;;;;;;;;;;;;;;;
University Center Economic Development Program;;;;;;;;;;;;;;;;;;;;;
Small Business Act;;;;;;;;;;;;;;Research And Innovation For Developing Countries;;;;;;;
Defense Education And Civilian University Research;;;;;;;;;;;;;;;;;;;Targeted Support To Smes;;
Minerva;;;;;;;;;;;;;;;;;;;;;
Doe Energy Innovation Hubs;;;;;;;;;;;;;;;;;;;;;
Workforce Development For Teachers And Scientists;;;;;;;;;;;;;;;;;;;;;
Energy Frontier Research Centers;;;;;;;;;;;;;;;;Science, Technology And Innovation Culture;;;;;
Bioenergy Knowledge Discovery Framework;;;;;;;;;;;;;;;;;;;;;
Build4scale Training;;;;;;;;;;;;Non-Financial Support To Business R&D And Innovation;;;;;;;;;
Cleantech University Prize;;;;;;;;;;;;Non-Financial Support To Business R&D And Innovation;;;;;;;;;
H2usa;;;;;;;;;;;;;;;;Science, Technology And Innovation Culture;;;;;
Institutional Funding To Department Of Energy National Laboratories;;;Cluster Policies;;;;;;;;;;;;;;;;;;
Lab-Embedded Entrepreneurship Programs;;;;;;;;;;;;;;;;;;;;;
National Incubator Initiative For Clean Energy;;;;;;;;;;;;Non-Financial Support To Business R&D And Innovation;;;;;;;;;
Photovoltaics Competitive Awards;;;;;;;;;;;;Non-Financial Support To Business R&D And Innovation;;;;;;;Targeted Support To Smes;;
Scientific User Facilities;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;;
Federal Laboratory Consortium For Technology Transfer;;;;;;;;;;;;;;;;;;;;;
Stem Rising;;;;;;;;;;;;;;;;;;;;;
Manufacturing Extension Partnership National Network;;;;;;;;;;;;;;;;;;;;;
Technology To Market Subprogram: Innovations In Manufacturing Competitiveness;;;;;;;;;;;;Non-Financial Support To Business R&D And Innovation;;;;;;;Targeted Support To Smes;;
Diversity Program Consortium;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;;
International Partnership For Hydrogen And Fuel Cells In The Economy;;;;;;;;;;;;;;;;;;;;;
Advanced Vehicle Technology Competitions;;;;;;;;;;;;;;;;;Stimulating Demand For Innovation And Market Creation;;;;
Concentrating Solar Power Competitive Awards;;;;;;;;;;;;;;;;;;;;;
Hydrogen At Scale;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;;
Department Of Energy R&D Consortia;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;;
Sunshot National Laboratory Multiyear Partnership;;;;;;;;;;;;Non-Financial Support To Business R&D And Innovation;;;;;;;;;
Driving Research And Innovation For Vehicle Efficiency And Energy Sustainability;;;;;;;;;;;;;;;;;;;;;
Accelerating Medicines Partnership;;;Cluster Policies;;;;;;;;;Non-Financial Support To Business R&D And Innovation;;;;;;;;;
The 21st Century Cures Act;;;;;;Ethics Of Emerging Technologies;;;;;;;;;;;;;;;
Institutional Funding To Noaa Regional Fisheries Science Centers;;;;;;;;;;;;;;;;;;;;;
Institutional Funding To Noaa Research Laboratories;;;;;;;;;;;;;;;;;;;;;
National Oceanic And Atmospheric Administration Cooperative Institutes;;;;;;;;;;;;;;;;;;;;;
National Sea Grant College Program;;;;;;;;;;;;;;;;;;;;;
Noaa Technology Transfer Programme;;;;;;;;;;;;;;;;;;;;;
Noaa Testbeds And Proving Grounds;;;;;;;;;;;;;;;;;;;;;
The Weather Research And Forecasting Innovation Act;;;;;;;;;;;;;;;;;;;;;
Climate Program Office Research Grants;;;;;;;;;;;;;;;;;;;;;
U.S. Global Change Research Program;;;;;;;;;;;;;;;;;;;;;
Electricity Industry Technology And Practices Innovation Challenge;;;;;;;;;;;;;;;;;;;;;
Materials Genome Initiative;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;;
Innovation Corps;;;;;;Ethics Of Emerging Technologies;;;;;;;;;;;;;;;
Mforesight: Alliance For Manufacturing Foresight;;;;;;;;;;;;Non-Financial Support To Business R&D And Innovation;;;;;;;;;
Large-Scale Fossil Fuel Pilot Projects;;;Cluster Policies;;;;;;;;;;;;;;;Strategic Policy Intelligence;;;
National Robotics Initiative 2.0: Ubiquitous Collaborative Robots;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;Stimulating Demand For Innovation And Market Creation;;;;
Small Business Vouchers;;;;;;;;;;;;;;;;;;;;;
Fuel Cell Technologies Office Consortia;;;;;;;;;;;;Non-Financial Support To Business R&D And Innovation;;;;;;;Targeted Support To Smes;;
21st Century Truck Partnership Blueprint;;;;;;;;;;;;;;;;;;;;;
Prevention Research Centers;;;;;;;;;;;;Non-Financial Support To Business R&D And Innovation;;;;;;;;;
Thematic Research Networks;;;;;;;;;;;;;;;;;;;;;
Innoprize Program;;;;;;;;;;;;;;;;;;;;;
Department Of Homeland Security Industry Guide;;;;;;;;;;;;;;;;Science, Technology And Innovation Culture;Stimulating Demand For Innovation And Market Creation;;;;
Silicon Valley Innovation Program;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;;
Technology And Innovation Exchanges;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;Targeted Support To Smes;;
Technology Clearinghouse;;;;;;;;;;;;;;;;;;;;;
Transition To Practice;;;;;;;;;;Multi-Stakeholder Engagement;;;;;;;;;;;
Office Of The Science And Technology Advisor;;;;;;;;;;;;;;;;;;;;;
Embassy Science Fellows Program;;;;;;;;;;;;;;;;;;;;;
Science Envoy Program;;;;;;;;;;;;;;;;;;;;;
National Highway Traffic Safety Administration;;;;;;;;;;;;;;;;Science, Technology And Innovation Culture;;;;;
Maritime Environmental And Technical Assistance;;;;;;Ethics Of Emerging Technologies;;;;;;;;;;;;;;;
Air, Climate And Energy Centers;;;Cluster Policies;;;;;;;;;;;;;;;;;;
Environmental Protection Agency Research Activities;;;;;;;;;;;;;;;;;;;;;
Innovation Lab;;;;;;;;;;;;;;;;;;;;;
Advancing Regulatory Science Strategic Plan;;;;;Digital Transformation Of Firms;;;;;;;Non-Financial Support To Business R&D And Innovation;;;;;;;;;
Centers Of Excellence In Regulatory Science And Innovation;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;;
Fda International Arrangements;;;;;;Ethics Of Emerging Technologies;;;;;;;;;;;;;;;
Iarpa Better Extraction From Text Towards Enhanced Retrieval;;;;;;;;;;;;;;;;;;;;;
Iarpa Prize Challenges;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;;
2020 Nasa Technology Taxonomy;;;;;;;;;;;;;;;;Science, Technology And Innovation Culture;Stimulating Demand For Innovation And Market Creation;;;;
Advanced Exploration System Partnerships;;;;;;;;;;;;;;;;;;;;;
Solve!;;;;;;;;;;;;;;;;;;;;;
Nasa Space Grant Program: National Space Grant College And Fellowship Project;;;;;;;;;;;;;;;;Science, Technology And Innovation Culture;Stimulating Demand For Innovation And Market Creation;;;;
Special Programs For K-12 Educators;;;;;;;;;;;;;;;;;;;;;
Special Programs For Undergraduate And Graduate Students And Postdoctoral Fellows;;;;;;;;;;;;;;;;;;;;;
Nsf Thematic Programs;;;;;;;;;;;;;;;;;;;;;
Office Of Naval Research Education And Outreach;;;;;;;;;;;;;;;;;;;;;
Networking And Information Technology Research And Development;;;;;;;;;;;;;;;;;;;;;
Development Innovation Ventures;;;;;Digital Transformation Of Firms;;;;;;;;;;;;;;;;
Cooperative Research Units;;;;;;;;;;;;;;Research And Innovation For Developing Countries;;;;;;;
Water Resources Research Act Program;;;;;;;;;;;;;;;;;;;;;
Institutional Funding To Geological Survey Science Centers;;;;;;;;;;;;;;;;;;;;;
Basic Behavioral And Social Science Opportunity Network;;;;;;;;;;;;;;;;;;;;;
Big Data To Knowledge;;;;;;;;;;;;;;;;;;;;;
Biomedical Information Science And Technology Initiative;;;;;;;;;;;;;Open Science And Enhanced Access To Publications And Research Data;;;;;;;;
Blueprint For Neuroscience Research;;;;;;;;;;;;;;;;;;;;;
Research Diversity Supplements;;;;;;;;;;;;;;;;;;;;;
Nih Education Projects;;;;;;;;;;;;;;;;;;;;;
Global Innovation Through Science And Technology Initiative;;;;;;;;;;;;;;;;Science, Technology And Innovation Culture;;;;;
High-Risk, High-Reward Research Program;;;;;;;;;;;;;;Research And Innovation For Developing Countries;;;;;;;
Institutional Funding To Va Centers Of Innovation;;;;;;;;;;;;;;;;;;;;;
Rehabilitation R&D Centers And Research Enhancement Programs;;;;;;;;;;;;;;;;;;;;;
Institutional Funding To The Clinical Center At The National Institutes Of Health;;;;;;;;;;;;;;;;;;;;;
Nih Intramural Research Program;;;;;;;;;;;;;;;;;;;;;
Nih Common Fund;;;;;;;;;;;;;;;;;;;;;
Nih Pathway To Independence Award;;;;;;;;;;;;;;;;;;;;;
Nih Research Enhancement Award;;;;;;;;;;;;;;;;;;;;;
Nih Office Of Science Policy;;;;;;;;;;;;;;;;Science, Technology And Innovation Culture;;;;;
Counteract Program;;;;;;Ethics Of Emerging Technologies;;;;;;;;;;;;Strategic Policy Intelligence;;;
Presidential Early Career Awards For Scientists And Engineers;;Business Innovation Policy Strategies;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;;
Nih Program Project/Center Grants;;;;;;;;;;;;;;;;Science, Technology And Innovation Culture;;;;;
